Mês;Clientes Início;Novos Clientes;Churn Clientes;Clientes Fim;MRR Início (R$);MRR Novo (R$);MRR Churn (R$);MRR Expansão (R$);MRR Fim (R$);ARR (R$);ARPU (R$);Receita Bruta (R$);Impostos (R$);Receita Líquida (R$);COGS/Infra (R$);Lucro Bruto (R$);Margem Bruta (%);Folha & Headcount (R$);Mídia & Vendas (R$);G&A Administrativo (R$);Total OPEX (R$);EBITDA (R$);Fluxo de Caixa Livre (R$);Saldo de Caixa Acumulado (R$)
M01;30;14;1;43;5760.00;2658.00;120.96;149.76;8446.80;101361.60;196.44;8446.80;506.81;7939.99;1494.50;6445.49;81.2%;25000.00;3500.00;3000.00;31500.00;-25054.51;-25054.51;974945.49
M02;43;18;1;60;8446.80;3546.00;177.38;219.62;12035.03;144420.41;200.58;12035.03;722.10;11312.93;1690.00;9622.93;85.1%;25000.00;4000.00;3000.00;32000.00;-22377.07;-22377.07;952568.42
M03;60;22;1;81;12035.03;4134.00;252.74;312.91;16229.21;194750.51;200.36;16229.21;973.75;15255.46;1931.50;13323.96;87.3%;25000.00;4500.00;3500.00;33000.00;-19676.04;-19676.04;932892.38
M04;81;28;2;107;16229.21;5316.00;340.81;421.96;21626.36;259516.26;202.12;21626.36;1297.58;20328.77;2230.50;18098.27;89.0%;36000.00;5000.00;3500.00;44500.00;-26401.73;-26401.73;906490.65
M05;107;32;2;137;21626.36;6204.00;454.15;562.29;27938.49;335261.84;203.93;27938.49;1676.31;26262.18;2575.50;23686.68;90.2%;36000.00;6000.00;4000.00;46000.00;-22313.32;-22313.32;884177.33
M06;137;38;3;172;27938.49;7386.00;586.71;726.40;35464.18;425570.15;206.19;35464.18;2127.85;33336.33;2978.00;30358.33;91.1%;36000.00;7000.00;4000.00;47000.00;-16641.67;-16641.67;867535.66
M07;172;44;4;212;35464.18;8568.00;744.75;922.07;44209.50;530514.00;208.54;44209.50;2652.57;41556.93;3438.00;38118.93;91.7%;49000.00;8000.00;4500.00;61500.00;-23381.07;-23381.07;844154.59
M08;212;49;4;257;44209.50;9553.00;928.40;1149.45;53983.55;647802.57;210.05;53983.55;3239.01;50744.53;3955.50;46789.03;92.2%;49000.00;9000.00;4500.00;62500.00;-15710.97;-15710.97;828443.63
M09;257;54;5;306;53983.55;10338.00;1133.65;1403.57;64591.47;775097.59;211.08;64591.47;3875.49;60715.98;4519.00;56196.98;92.6%;49000.00;10000.00;5000.00;64000.00;-7803.02;-7803.02;820640.60
M10;306;58;6;358;64591.47;11226.00;1356.42;1679.38;76140.42;913685.07;212.68;76140.42;4568.43;71572.00;5117.00;66455.00;92.9%;57000.00;11000.00;5000.00;73000.00;-6545.00;-6545.00;814095.60
