"Nome","Entidade / Veículo","Perfil","Histórico Relevante","Tese de Fit","Ticket Estimado","Canal de Contato","Estágio no Funil","Próxima Ação"
"Fabrice Grinda","FJ Labs","Anjo Setorial Global","Co-fundador da OLX global; líder em classificados de autos no Brasil","Marketplaces transacionais e SaaS B2B para vertical autos","US$ 250 mil+","FJ Labs — portal de submissão (fjlabs.com)","Mapeado","Enviar teaser Template 3 (E-mail Executivo) com deck online e One-Pager"
"Marcos Leite","Investidor Independente","Anjo Setorial","Ex-CCO e ex-CRO do Grupo OLX Brasil (verticais Autos e Imóveis)","Martechs e esteiras de CRM para lojistas automotivos","R$ 100 mil a R$ 300 mil","LinkedIn InMail — perfil executivo OLX","Mapeado","Enviar teaser Template 1 (LinkedIn InMail) destacando gestão de leads"
"Fernando Miranda","Neon (CEO)","Anjo Setorial","Ex-CEO da Webmotors; ex-Diretor de Varejo Digital do Santander","Crédito veicular e esteiras digitais com embedded finance","R$ 100 mil a R$ 300 mil","LinkedIn InMail — rede Neon / financeira","Mapeado","Enviar Template 1 com tese de monetização via crédito e leads qualificados"
"Eduardo Jurcevic","Webmotors (CEO)","Anjo Setorial","CEO da Webmotors desde 2020; +20 anos em projetos digitais do Santander","Autotechs e plataformas para redes de concessionárias","R$ 100 mil a R$ 300 mil","LinkedIn InMail — Webmotors","Mapeado","Agendar conversa sobre integração com inventário digital de revendas"
"Ricardo Bonzo Filho","C6 Bank — Head de Veículos","Anjo Setorial","Ex-CEO da iCarros; verticais automotivas no Santander/Aymoré e BV","Fintech automotiva e esteiras de financiamento para lojistas","R$ 100 mil a R$ 300 mil","LinkedIn InMail — C6 Bank","Mapeado","Enviar Template 1 com dados de CPL e volume de leads para crédito"
"Mauricio Feldman","Supera Capital","Anjo Setorial Institucional","Co-fundador e ex-CEO da Volanty (vendida à Creditas)","Marketplaces de seminovos e softwares de repasse B2B","R$ 200 mil a R$ 500 mil","Supera Capital — contato institucional / rede Stanford","Mapeado","Enviar Template 3 (E-mail) com One-Pager e pedir indicação de co-investidores"
"Luca Cafici","InstaCarro (CEO)","Anjo Setorial","Co-fundador e ex-CEO da InstaCarro; pioneiro em leilões C2B","Marketplaces B2B e plataformas de logística na LATAM","R$ 100 mil a R$ 300 mil","LinkedIn InMail — InstaCarro","Mapeado","Enviar Template 1 comparando eficiência de leilão com leads qualificados"
"Diego Fischer","Carupi (CEO)","Anjo Setorial","Co-fundador e ex-CEO da InstaCarro; ex-McKinsey","Mobilidade, vistorias remotas e software automotivo pré-seed","R$ 100 mil a R$ 300 mil","LinkedIn InMail — Carupi / MIT Angels","Mapeado","Enviar Template 1 com foco em automação e dados de pátio"
"J. R. Caporal","Auto Avaliar / MegaDealer (CEO)","Anjo Setorial","Criou a Auto Avaliar (B2B de repasse, adquirida pela Stellantis)","Martechs e plataformas de crédito para concessionárias","R$ 200 mil a R$ 500 mil","Rede B2B Auto — Auto Avaliar / eventos setoriais","Mapeado","Enviar Template 3 com estratégia de repasse e inventário fiscal"
"Daniel Abbud","Dryve (CEO)","Anjo Setorial","Fundador da Dryve (B2B financeiro); co-fundador Beblue","Embedded finance, crédito para frotas e logística","R$ 100 mil a R$ 300 mil","7stars Partners — rede","Mapeado","Enviar Template 1 conectando integração DMS a crédito de estoque"
"Rafael Constantinou","Advisor / Independente","Anjo Setorial","Ex-Head de Marketing da Webmotors; ex-VP Marketing Grupo OLX","Jornada digital do lojista e martechs de retenção","R$ 50 mil a R$ 200 mil","LinkedIn InMail — ex-Webmotors","Mapeado","Enviar Template 1 com métricas de marketing por loja"
"Flávio Passos","OLX Brasil — VP Autos","Anjo Setorial","VP da unidade de Autos da OLX Brasil","SaaS de gestão de leads e CRM automotivo","R$ 50 mil a R$ 200 mil","LinkedIn InMail — OLX Brasil","Mapeado","Agendar call de validação de produto com dados de conversão DAA"
"Daniel Wjunisky","Investidor Independente","Anjo Setorial","Ex-produto Webmotors; co-fundador da iCarros","Startups de consumo e dados em estágio pré-seed","R$ 50 mil a R$ 200 mil","LinkedIn InMail — rede Endeavor / anjos","Mapeado","Enviar Template 1 com tração e roadmap de dados proprietários"
"Fernando Ortenblad","zFlow (Co-fundador)","Anjo Setorial","Ex-executivo pioneiro da Webmotors; co-fundador iCarros e zFlow","Softwares para e-commerce de veículos","R$ 50 mil a R$ 200 mil","Sindicato ex-Webmotors — via zFlow","Mapeado","Enviar Template 1 e convidar para demo da sincronização DMS"
"Sylvio de Barros (in memoriam)","Legado — Webmotors/iCarros/zFlow","Anjo Setorial","Fundador da Webmotors (1995), iCarros (2007) e zFlow (2016)","Precursor do VC automotivo nacional","Não aplicável","Não aplicar — legado histórico","Lead","Manter registro histórico — não abordar"
"Tiago Cavalcanti Fernandes","AutoForce (CEO)","Anjo Setorial","Criador da plataforma líder de marketing para revendas no Nordeste","Martechs B2B e automação comercial para revendas","R$ 50 mil a R$ 200 mil","BR Angels / GVAngels — inscrição na rede","Mapeado","Apresentar via BR Angels como caso de smart money setorial"
"Ronaldo Sodré Santoro","Bom Valor (CEO)","Anjo Setorial","Família fundadora Sodré Santoro Leilões; inovação em leilões corporativos","Leilões e desintermediação de ativos veiculares","R$ 100 mil a R$ 300 mil","LinkedIn InMail — Sodré Santoro","Mapeado","Enviar Template 1 com tese de repasse B2B e inventário em tempo real"
"Marcelo Zamprogna Krug","Investidor Independente","Anjo Setorial","Co-fundador pioneiro da Webmotors na transição para a web","Infraestrutura de dados e ferramentas transacionais B2B","R$ 50 mil a R$ 200 mil","LinkedIn InMail — rede independente","Mapeado","Enviar Template 1 com arquitetura de parser e diffs em tempo real"
"Peter Fernandez","Investidor Anjo / Advisor","Anjo Setorial","Ex-CEO da 99 na expansão e aquisição pela DiDi; ex-Google","Mobilidade, logtech e autotech B2B","US$ 100 mil a US$ 250 mil","LinkedIn InMail — advisor / sindicatos globais","Mapeado","Enviar Template 1 com foco em redução de custo por veículo vendido"
"Paulo Veras","Investidor Anjo / Conselheiro","Anjo Setorial","Co-fundador e ex-CEO da 99; portfólio Klubi, Frete.com, Digibee","Autotech B2B e SaaS transacional","R$ 200 mil a R$ 500 mil","LinkedIn InMail — YPO / Spectra","Mapeado","Enviar Template 3 (E-mail) com deck completo e rodada aberta"
"Ariel Lambrecht","antonella.ai (Co-fundador)","Anjo Setorial","Co-fundador da 99 e Yellow; investidor em Klubi, Quansa, Mobees","Mobilidade, IA e SaaS","R$ 100 mil a R$ 300 mil","LinkedIn InMail — antonella.ai","Mapeado","Enviar Template 1 com roteiro de IA para composição de inventário"
"Renato Freitas","Unknown Ventures","Anjo Setorial","Co-fundador da 99 e Yellow; gestor na Unknown Ventures","Pré-seed e seed em mobilidade e segurança urbana","R$ 100 mil a R$ 300 mil","Unknown Ventures — contato institucional","Mapeado","Enviar Template 3 com One-Pager e memória de fundo"
"Patrick Sigrist","Yellow Ventures","Anjo Setorial","Co-fundador do iFood e Yellow; Managing Partner na Yellow Ventures","Logtech de última milha e mobilidade sustentável","R$ 100 mil a R$ 300 mil","Yellow Ventures — contato institucional","Mapeado","Enviar Template 3 pedindo reunião de pitch 15 minutos"
"André Turquetto","Veloe / Grupo EloPar (CEO)","Anjo Setorial","Comanda a Veloe (pedágios e gestão de frotas corporativas)","Logística, frotas e bilhetagem digital","R$ 100 mil a R$ 300 mil","Inovabra — programa / ecossistema EloPar","Mapeado","Validar integração com frotas e agendar pitch via Inovabra"
"Kaumer Chieppe","Grupo Águia Branca (Presidente)","Anjo Corporativo","Ex-CEO da Vix Logística; preside grupo de transporte e concessionárias","Telemetria, frotas comerciais e logística reversa","R$ 200 mil a R$ 500 mil","Águia Branca Ventures — CVC/M&A","Mapeado","Abordar como CVC para piloto em concessionárias do grupo"
"Renan Chieppe","Grupo Águia Branca (Conselheiro)","Anjo Corporativo","Ex-presidente do Grupo Águia Branca; liderança em frotas e revendas","Softwares de gestão e manutenção veicular","R$ 200 mil a R$ 500 mil","Conselho Águia Branca — via família","Mapeado","Convidar família para demonstração da plataforma em loja piloto"
